Day,Month,Year,Date,T,Q,C,SSC
26,6,1996,6/26/1996,8.2,50,603,17
14,2,1996,2/14/1996,7.4,50.1,568,19
16,3,2015,3/16/2015,1.5,50.6,441,39
19,7,2000,7/19/2000,8.2,50.8,594,21
13,11,2006,11/13/2006,7.9,51.1,648,12
29,4,2013,4/29/2013,11.5,51.3,690,12
27,2,2012,2/27/2012,3,51.5,600,4
10,1,2005,1/10/2005,7.9,51.6,678,7
1,3,2004,3/1/2004,7.8,52.2,920,26
20,10,2014,10/20/2014,11.3,52.42,560,10
22,6,2000,6/22/2000,8.1,53.1,681,32
5,6,2006,6/5/2006,8,53.3,441,35
11,12,2006,12/11/2006,8.4,53.6,908,20
5,2,1997,2/5/1997,8.1,53.8,705,16
2,5,2005,5/2/2005,8,54,632,14
30,6,2008,6/30/2008,15.9,54.5,507,23
5,5,2003,5/5/2003,7.9,54.8,695,12
9,2,2009,2/9/2009,1.9,55,885,18
9,1,2006,1/9/2006,8,55.3,688,16
3,5,2004,5/3/2004,8,55.9,671,16
8,4,2002,4/8/2002,8.5,56.1,584,4
18,7,2005,7/18/2005,7.8,56.2,418,22
9,8,2000,8/9/2000,8.3,56.7,688,13
26,5,2014,5/26/2014,16.1,56.83,535,8
26,4,1995,4/26/1995,7.8,56.9,555,30
17,3,2014,3/17/2014,0.2,58,430,5
27,9,2000,9/27/2000,7.7,58.2,652,32
17,3,2008,3/17/2008,2,58.4,810,7
21,10,2013,10/21/2013,12,58.6,520,16
16,10,2006,10/16/2006,8,59,626,22
20,3,2006,3/20/2006,7.9,59.1,649,12
26,5,2003,5/26/2003,7.8,59.2,676,11
28,3,2011,3/28/2011,3,59.5,700,10
4,2,2002,2/4/2002,8.2,59.6,760,7
7,12,1993,12/7/1993,7.7,59.8,698,26
8,2,2016,2/8/2016,4.1,59.9,470,15
30,11,1993,11/30/1993,7.7,60.1,702,22
24,11,2003,11/24/2003,8,60.2,642,30
12,5,2003,5/12/2003,7.3,60.4,698,16
20,11,1996,11/20/1996,8.2,60.5,719,7
17,5,1994,5/17/1994,8.2,61.5,641,12
11,4,2011,4/11/2011,11.5,62.1,648,15
1,6,2009,6/1/2009,15.1,64.3,636,15
18,12,2006,12/18/2006,8.4,64.5,674,22
20,3,1996,3/20/1996,8.1,65,668,17
12,4,2010,4/12/2010,9.8,66.3,691,18
13,5,2002,5/13/2002,7.9,67.5,600,34
2,3,2000,3/2/2000,8.4,69,635,8
25,3,1998,3/25/1998,8.1,69.1,672,16
4,12,1996,12/4/1996,7.9,69.8,674,11
14,3,2001,3/14/2001,8.3,70.1,679,30
5,4,2004,4/5/2004,8.2,70.2,656,19
4,4,2011,4/4/2011,7,70.5,753,18
24,1,1996,1/24/1996,8.2,70.6,716,19
13,4,1994,4/13/1994,7.6,71.3,644,13
15,3,2004,3/15/2004,7.9,71.4,696,17
1,12,2008,12/1/2008,2.3,72.2,587,14
17,1,2005,1/17/2005,7.9,72.4,608,15
9,1,2012,1/9/2012,2.7,72.6,540,21
19,6,1996,6/19/1996,8.3,72.7,576,25
15,9,2014,9/15/2014,14.6,72.98,600,28
16,1,2006,1/16/2006,8.8,73.8,657,19
11,11,2013,11/11/2013,6.5,74.4,570,14
11,4,2001,4/11/2001,7.9,74.7,558,17
28,5,2001,5/28/2001,7.7,75,566,16
22,3,1995,3/22/1995,8.2,76,605,17
3,6,2013,6/3/2013,17.8,76.4,753,35
12,12,2011,12/12/2011,2.9,77.5,540,21
25,4,2005,4/25/2005,8,78,632,29
25,1,1995,1/25/1995,7.7,79.4,640,34
30,11,2015,11/30/2015,4.2,79.9,370,21
5,5,2014,5/5/2014,9,79.96,440,10
17,11,2003,11/17/2003,8.2,80.3,686,38
28,3,2001,3/28/2001,8.2,81,580,8
20,11,2006,11/20/2006,7.9,81.1,575,22
6,10,2014,10/6/2014,13.3,81.68,550,18
22,11,1995,11/22/1995,7.8,82.3,671,15
25,5,2000,5/25/2000,8.1,82.5,612,16
6,4,1994,4/6/1994,7.6,83.4,571,9
2,5,2011,5/2/2011,10.8,83.6,618,19
19,3,1997,3/19/1997,8.2,85.1,598,12
17,10,2001,10/17/2001,7.9,85.3,519,20
24,10,1996,10/24/1996,8.1,85.3,621,21
28,1,2002,1/28/2002,7.9,85.5,671,5
12,3,1997,3/12/1997,8.2,86.8,592,29
14,4,2008,4/14/2008,7.3,87.1,891,1
14,1,2008,1/14/2008,4.1,89,700,27
24,10,2011,10/24/2011,11.1,92.4,490,27
2,10,1996,10/2/1996,8,93.2,574,28
15,11,1995,11/15/1995,7.8,93.4,596,43
18,3,2013,3/18/2013,2.2,95.8,690,8
31,10,1996,10/31/1996,8.1,98,618,32
14,4,2003,4/14/2003,7.9,101,587,17
5,3,1997,3/5/1997,8.2,104,564,16
27,1,1999,1/27/1999,8.2,105,460,16
19,3,2007,3/19/2007,1,105.1,537,15
15,1,2007,1/15/2007,8,105.8,699,31
23,10,2006,10/23/2006,7.9,106.6,529,20
8,9,2014,9/8/2014,18.6,107.36,450,37
23,1,2006,1/23/2006,8,107.6,602,21
18,2,1999,2/18/1999,7.6,109,500,27
29,11,2000,11/29/2000,8.3,113,709,31
17,12,1996,12/17/1996,7.9,115,706,40
6,4,2009,4/6/2009,7.5,115.9,602,41
7,1,2008,1/7/2008,4.9,116.4,814,33
14,4,2014,4/14/2014,9.9,118.86,550,14
3,12,2001,12/3/2001,7.9,121,503,27
4,4,2016,4/4/2016,3.2,124.8,420,28
5,12,2011,12/5/2011,7.4,128.1,520,42
1,2,2016,2/1/2016,3,134.3,550,36
5,3,2012,3/5/2012,1.7,138.6,330,24
26,2,1997,2/26/1997,8.1,139,560,22
11,4,2016,4/11/2016,4,141.1,460,17
8,1,2007,1/8/2007,8.4,141.8,598,40
15,12,2008,12/15/2008,5.5,144.6,732,42
6,2,2006,2/6/2006,7.8,146.3,685,27
29,3,2004,3/29/2004,7.7,147,563,25
23,2,1994,2/23/1994,7.9,151,481,23
20,2,2006,2/20/2006,7.6,154.2,569,11
26,6,2000,6/26/2000,8.1,157,672,34
7,4,2008,4/7/2008,6.6,157.2,732,15
22,2,2016,2/22/2016,1.9,160,400,33
16,5,2011,5/16/2011,12.5,161.9,516,42
24,4,1996,4/24/1996,7.8,165,570,37
4,3,2002,3/4/2002,8.2,171,579,29
31,3,2014,3/31/2014,2.2,172.7,452,44
