Front  Toe  angle (deg),Angle Rate,"Engine RPM 
(rev/min)",Engine RPM Rate (%),"Rolling Resistance Coefficient
", Rolling Resistance Coefficient Rate (%),"Rolling Resistance Force, (N)",Rolling Resistance Force Rate (%) ,"Energy Consumption, KJ",Energy Consumption Rate (%),Fuel Consumption (ml) ,Fuel Consumption Rate (%), KPL (km/L),KPL Reduction Rate (%)
-1.55,0.21,1198,10.01,0.0268,27.87,287.0392,27.87,1722.2354,27.87,425,22.48,14.117,18.36
-1.70,0.23,1214,11.48,0.0280,33.60,299.8934,33.60,1799.3605,33.60,433,24.78,13.856,19.87
-1.84,0.25,1234,13.31,0.0295,40.52,315.4460,40.52,1892.6760,40.52,442,27.38,13.574,21.50
-2.00,0.28,1251,14.88,0.0307,46.24,328.2719,46.24,1969.6313,46.24,449,29.39,13.363,22.72
-2.14,0.30,1272,16.80,0.0321,53.08,343.6346,53.08,2061.8078,53.08,457,31.70,13.129,24.07
-2.25,0.31,1288,18.27,0.0333,58.41,355.6015,58.41,2133.6089,58.41,463,33.43,12.958,25.06
-2.36,0.33,1314,20.66,0.0350,66.69,374.1790,66.69,2245.0739,66.69,472,36.02,12.711,26.49
-2.43,0.34,1338,22.87,0.0366,74.29,391.2336,74.29,2347.4015,74.29,480,38.33,12.500,27.71
-2.53,0.35,1370,25.80,0.0386,84.04,413.1234,84.04,2478.7407,84.04,490,41.21,12.244,29.19
0.00,0.00,1087,0.00,0.0210,0.00,224.5509,0.00,1347.3054,0.00,346,0.00,17.341,0.00
0.16,0.02,1097,0.92,0.0211,0.48,225.6202,0.48,1353.7211,0.48,353,2.02,16.997,1.98
0.40,0.06,1113,2.39,0.0213,1.43,227.7588,1.43,1366.5526,1.43,366,5.78,16.393,5.47
0.70,0.10,1126,3.59,0.0218,3.81,233.1052,3.81,1398.6313,3.81,377,8.96,15.915,8.22
1.00,0.14,1140,4.88,0.0226,7.62,241.6595,7.62,1449.9572,7.62,388,12.14,15.463,10.83
1.30,0.18,1153,6.07,0.0237,12.86,253.4217,12.86,1520.5304,12.86,398,15.03,15.075,13.07
1.60,0.22,1171,7.73,0.0251,19.52,268.3918,19.52,1610.3507,19.52,410,18.50,14.634,15.61
1.90,0.26,1192,9.66,0.0267,27.14,285.5004,27.14,1713.0026,27.14,422,21.97,14.218,18.01
2.20,0.30,1219,12.14,0.0286,36.19,305.8169,36.19,1834.9016,36.19,435,25.72,13.793,20.46
2.50,0.35,1251,15.09,0.0307,46.19,328.2720,46.19,1969.6322,46.19,449,29.77,13.363,22.94
2.80,0.39,1285,18.22,0.0332,58.10,355.0043,58.10,2130.0257,58.10,462,33.53,12.987,25.11
3.10,0.43,1329,22.26,0.0359,70.95,383.8751,70.95,2303.2507,70.95,477,37.86,12.578,27.47
3.40,0.47,1370,26.03,0.0388,84.76,414.8845,84.76,2489.3071,84.76,490,41.62,12.244,29.39
3.68,0.51,1425,31.09,0.0418,99.05,446.9632,99.05,2681.7793,99.05,507,46.53,11.834,31.76
4.00,0.55,1477,35.88,0.0456,117.14,487.5962,117.14,2925.5774,117.14,523,51.16,11.472,33.84
4.28,0.59,1524,40.20,0.0491,133.81,525.0214,133.81,3150.1283,133.81,539,55.78,11.131,35.81
4.50,0.62,1561,43.61,0.0520,147.62,556.0308,147.62,3336.1848,147.62,554,60.12,10.830,37.55
4.72,0.65,1609,48.02,0.0551,162.38,589.1788,162.38,3535.0727,162.38,571,65.03,10.507,39.41
4.86,0.67,1654,52.16,0.0571,171.90,610.5646,171.90,3663.3875,171.90,587,69.65,10.221,41.06
5.06,0.70,1694,55.84,0.0601,186.19,642.6433,186.19,3855.8597,186.19,602,73.99,9.966,42.53
0.00,0.00,1090,0.00,0.0210,0.00,224.4223,0.00,1346.5340,0.00,348,0.00,17.241,0.00
-0.16,0.02,1103,1.19,0.0211,0.36,225.2272,0.36,1351.3633,0.36,358,2.87,16.759,2.80
-0.40,0.06,1120,2.75,0.0215,2.66,230.3815,2.66,1382.2893,2.66,372,6.90,16.129,6.45
-0.70,0.10,1135,4.13,0.0223,6.20,238.3282,6.20,1429.9689,6.20,384,10.34,15.625,9.37
-1.00,0.14,1148,5.32,0.0231,10.19,247.2805,10.19,1483.6829,10.19,394,13.22,15.228,11.68
-1.30,0.18,1161,6.51,0.0240,14.53,257.0371,14.53,1542.2227,14.53,403,15.80,14.888,13.65
-1.60,0.22,1180,8.26,0.0255,21.37,272.3777,21.37,1634.2660,21.37,415,19.25,14.457,16.15
-1.90,0.26,1200,10.09,0.0270,28.59,288.5932,28.59,1731.5593,28.59,426,22.41,14.084,18.31
-2.20,0.30,1227,12.57,0.0290,38.19,310.1398,38.19,1860.8391,38.19,439,26.15,13.667,20.73
-2.50,0.35,1261,15.69,0.0314,49.66,335.8641,49.66,2015.1846,49.66,453,30.17,13.245,23.18
-2.80,0.39,1294,18.72,0.0336,60.26,359.6680,60.26,2158.0078,60.26,465,33.62,12.903,25.16
-3.10,0.43,1338,22.75,0.0366,74.33,391.2336,74.33,2347.4015,74.33,480,37.93,12.500,27.50
-3.40,0.47,1380,26.61,0.0393,87.05,419.7892,87.05,2518.7354,87.05,493,41.67,12.170,29.41
-3.68,0.51,1438,31.93,0.0431,105.14,460.3729,105.14,2762.2372,105.14,511,46.84,11.741,31.90
-4.00,0.55,1492,36.88,0.0467,122.30,498.8896,122.30,2993.3374,122.30,528,51.72,11.363,34.09
-4.28,0.59,1543,41.56,0.0504,140.05,538.7328,140.05,3232.3966,140.05,546,56.90,10.989,36.26
-4.50,0.62,1594,46.24,0.0539,156.83,576.3790,156.83,3458.2739,156.83,564,62.07,10.638,38.30
-4.72,0.65,1642,50.64,0.0569,171.24,608.7314,171.24,3652.3886,171.24,581,66.95,10.327,40.10
-4.86,0.67,1698,55.78,0.0600,185.71,641.2073,185.71,3847.2441,185.71,601,72.70,9.983,42.10
-5.06,0.70,1763,61.74,0.0625,197.94,668.6372,197.94,4011.8235,197.94,624,79.31,9.615,44.23
